length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
15,4,4,7,7,0,0,3.323231429,0.674426094,1,1,81,10596
7,8,2,2,4,0,0,2.521640636,0.584636668,1,1,0,14244
8,4,2,3,4,0,0,2.75,0.674081564,1,1,0,7692
9,4,3,3,5,0,0,3.169925001,0.688895309,1,1,0,7671
19,6,4,7,11,0,0,3.471354487,0.842724014,1,2,2565,10957
13,4,5,5,7,0,0,3.546593564,0.681304401,1,5,3916,10838
14,4,3,4,9,0,0,3.378783493,0.933333333,1,1,768,3653
7,8,2,2,4,0,0,2.807354922,0.818262722,1,0,1745,0
7,4,2,2,3,1,0,2.807354922,0.666650617,1,1,11,12418
12,4,3,3,8,0,0,3.418295834,0.673391433,1,2,0,11689
11,4,3,4,6,0,0,3.095795255,0.933333333,1,7,1739,10591
12,2,3,4,7,0,0,2.918295834,1,1,5,1253,2922
11,5,4,5,5,0,0,3.277613437,0.95,1,5,1599,7305
13,2,3,4,8,0,0,3.180832987,1,1,0,258,0
12,2,3,4,5,2,0,3.022055209,1,1,4,445,8405
10,2,2,4,5,0,0,2.721928095,1,1,0,125,0
11,2,2,4,6,0,0,3.027169118,1,1,1,0,365
11,2,3,3,7,0,0,3.459431619,1,1,4,909,8036
7,5,2,3,3,0,0,2.521640636,0.928571429,1,1,87,11112
8,6,2,2,4,1,0,3,0.846971326,0,0,0,1826
7,4,2,3,3,0,0,2.521640636,0.68958544,1,2,5,12051
10,4,3,4,5,0,0,3.121928095,0.665800525,1,2,1054,12420
10,6,2,4,5,0,0,2.846439345,0.639454191,1,1,188,9131
10,0,2,2,7,0,0,2.921928095,0,0,0,0,5479
10,4,3,5,4,0,0,2.846439345,0.682179102,0,0,0,6209
11,2,4,4,6,0,0,3.277613437,1,1,2,1460,6209
10,2,3,3,6,0,0,3.321928095,1,1,1,0,12783
14,2,4,6,7,0,0,3.4677201,1,1,0,202,2192
30,4,4,9,17,0,3,3.806238929,0.933333333,1,0,0,731
26,4,4,8,15,0,2,3.844106545,0.933333333,1,0,0,731
19,4,4,7,10,0,1,3.536886724,0.933333333,1,0,0,4018
8,4,2,2,5,0,0,2.75,0.682339063,1,0,0,4383
12,4,2,3,8,0,0,3.251629167,0.831303064,1,1,281,2922
18,4,5,6,10,0,1,3.725480557,0.933333333,1,0,0,4018
13,4,2,3,8,0,1,3.238901257,0.933333333,0,0,0,4383
9,8,3,3,5,0,0,2.947702779,0.752380952,1,6,834,14246
10,8,2,3,6,0,0,2.921928095,0.776054322,1,0,32,3653
12,4,3,4,7,0,0,3.251629167,0.966666667,1,7,0,5114
13,4,3,3,9,0,0,3.546593564,0.696487286,1,5,953,8036
16,4,3,3,12,0,0,3.75,0.681465432,1,0,0,3653
11,4,2,3,7,0,0,2.845350937,0.933333333,1,0,596,7669
10,2,3,4,5,0,0,3.121928095,1,1,0,1107,0
9,2,1,3,5,0,0,2.641604168,1,1,1,622,1826
10,2,2,4,5,0,0,2.846439345,1,1,0,817,3287
9,2,3,4,4,0,0,2.947702779,1,1,5,0,4383
10,4,3,3,6,0,0,3.121928095,0.696671856,1,2,49,9862
11,6,4,4,6,0,0,3.277613437,0.524033613,1,1,22,10957
19,2,5,8,10,0,0,3.576617645,1,1,1,0,7305
10,2,2,3,6,0,0,2.921928095,1,1,1,0,1461
15,4,4,5,9,0,0,3.456564762,0.666674156,1,5,2497,9862
17,4,4,6,10,0,0,3.734521665,0.665800525,1,4,0,8766
9,4,3,3,5,0,0,2.947702779,0.966666667,1,5,495,11323
6,6,2,2,3,0,0,2.584962501,0.851415771,1,0,3391,10226
7,6,3,4,2,0,0,2.521640636,0.856129032,1,2,524,13884
14,2,5,6,7,0,0,3.521640636,1,1,1,3911,1461
8,4,3,3,4,0,0,2.75,0.689057409,1,3,829,13148
13,4,3,5,7,0,0,3.180832987,0.674081564,1,2,3713,9495
13,4,3,5,7,0,0,2.87314068,0.673896994,1,0,1171,9495
11,5,4,5,5,0,0,3.095795255,0.941176471,0,1,0,2191
7,6,2,2,4,0,0,2.521640636,0.834901434,1,2,0,14610
7,4,2,2,4,0,0,2.128085279,0.833333333,1,4,0,11687
7,4,1,1,5,0,0,2.128085279,0.675116226,1,1,1057,3287
8,4,4,4,3,0,0,3,0.907407407,1,0,237,6963
12,4,4,5,6,0,0,3.418295834,0.704768325,1,1,0,13148
12,2,4,5,6,0,0,3.084962501,1,1,5,0,8401
16,2,4,7,7,0,0,3.25,1,1,1,0,10817
9,6,2,3,5,0,0,2.947702779,0.829704301,1,1,1117,12037
9,6,2,2,6,0,0,2.947702779,0.829704301,0,5,0,3652
9,4,3,4,4,0,0,2.947702779,0.865079365,1,1,2274,9350
8,2,4,4,3,0,0,3,1,1,1,2391,6940
8,2,3,3,4,0,0,2.75,1,1,1,2338,5479
24,4,4,8,15,0,0,3.584962501,0.651675842,1,0,0,1096
10,2,2,2,7,0,0,3.121928095,0,0,3,0,1461
11,4,2,2,7,0,1,3.459431619,0.690222794,0,0,0,3652
7,4,2,2,4,0,0,2.807354922,0.673231472,0,0,0,0
24,4,3,9,14,0,0,3.490601563,0.726830586,0,0,0,2557
10,4,2,3,6,0,0,2.921928095,0.658989539,0,0,0,3653
13,8,2,4,7,0,1,3.334679141,0.73015873,0,0,0,730
13,4,4,6,5,0,1,3.39274741,0.831303064,0,0,0,4383
17,4,4,7,8,0,1,3.616874606,0.831303064,0,0,0,4018
13,4,4,4,7,0,1,3.700439718,0.952380952,0,0,0,4018
9,5,4,4,4,0,0,3.169925001,0.84440753,1,1,0,11322
9,4,3,4,4,0,0,2.947702779,0.831303064,1,0,0,8036
13,4,3,6,6,0,0,3.085055103,0.831303064,0,0,0,4383
11,5,3,4,6,0,0,3.277613437,0.830232558,0,0,0,2922
17,4,4,7,9,0,0,3.381580488,0.838888889,0,0,0,5114
9,3,1,1,6,0,1,2.947702779,0.941176471,1,5,1394,4748
12,6,1,3,7,0,1,3.188721876,0.643137255,0,0,0,4383
9,8,2,4,4,0,0,2.641604168,0.928571429,1,2,613,8766
9,5,4,4,4,0,0,3.169925001,0.928571429,1,2,2,10593
19,2,4,8,10,0,0,3.431623566,1,1,4,0,6209
11,4,4,5,5,0,0,3.277613437,0.697387865,1,1,224,9862
11,5,3,3,7,0,0,3.277613437,0.666280514,0,1,0,4748
12,4,2,3,8,0,0,3.084962501,0.966666667,1,5,1172,8240
17,7,4,7,9,0,0,3.4548224,0.896630037,1,2,1501,9862
12,4,3,4,7,0,0,3.251629167,0.944444444,0,1,0,11322
9,0,1,2,6,0,0,2.419381946,0,1,0,0,365
18,6,3,6,11,0,0,3.46132014,0.833870968,1,2,0,10957
7,4,2,3,3,0,0,2.235926351,0.944444444,1,0,1091,0
10,4,2,3,6,0,0,2.646439345,0.704667855,1,2,0,12783
10,2,2,3,6,0,0,2.921928095,1,1,0,1092,1826
8,2,2,2,5,0,0,2.75,1,1,1,319,9131
7,2,1,1,5,0,0,2.128085279,1,1,2,522,11324
9,8,2,2,5,0,0,2.503258335,0.861857003,1,2,2810,10726
7,2,1,1,5,0,0,2.235926351,1,0,0,49,14974
10,4,1,1,8,0,0,2.846439345,0.933333333,0,0,0,2191
10,6,1,1,8,0,0,3.121928095,0.933333333,0,0,0,4383
8,2,3,4,3,0,0,2.5,1,1,11,559,5844
10,4,3,5,4,0,0,2.846439345,0.882077743,1,3,429,10246
9,4,2,3,5,0,0,2.947702779,0.857142857,1,2,4,9497
8,6,2,3,4,0,0,2.75,0.838963506,1,2,4,6940
11,4,2,4,6,0,0,2.845350937,0.682362602,1,5,10,7305
12,2,4,4,6,0,0,3.251629167,0,0,2,0,6575
12,3,2,5,6,0,0,2.918295834,0.947368421,1,5,0,15438
11,8,3,3,7,0,0,3.277613437,0.77029011,1,2,0,11689
10,2,2,2,4,3,0,3.321928095,1,0,0,49,9496
10,2,4,4,5,0,0,3.321928095,1,0,5,62,10592
11,2,3,3,7,0,0,3.459431619,1,1,1,0,9131
13,2,3,4,7,0,0,3.238901257,1,1,5,33,0
10,2,3,4,5,0,0,3.121928095,1,1,5,33,0
12,2,3,4,6,0,0,3.251629167,1,1,1,10,6209
18,4,4,7,10,0,0,3.683542362,0.846978558,1,5,13,5113
16,2,4,6,9,0,0,3.625,1,1,0,0,2191
16,4,4,6,9,0,0,3.625,0.666675226,1,2,868,10225
13,2,4,6,6,0,0,3.334679141,1,1,5,561,2557
7,4,2,3,3,0,0,2.521640636,0.681994532,0,5,0,6209
13,8,2,3,9,0,0,3.39274741,0.875,1,1,0,5113
7,4,2,2,4,0,0,2.521640636,0.696992847,1,1,48,4383
12,4,4,5,6,0,0,3.418295834,0.651146741,1,5,3040,10227
7,7,2,2,4,0,0,2.521640636,0.713472862,1,1,4256,0
12,2,2,5,6,0,0,2.584962501,1,2,1,661,9861
11,2,1,4,6,0,0,2.368522528,1,0,0,49,5844
11,4,4,4,6,0,0,3.095795255,0.689425479,1,5,0,3652
8,10,2,2,5,0,0,3,0.558131586,1,1,229,10959
17,6,4,6,10,0,0,3.616874606,0.814344711,1,2,584,9496
6,8,1,1,4,0,0,2.584962501,0.584899571,1,5,1114,0
15,4,3,5,9,0,0,3.456564762,0.865079365,1,2,1625,10227
15,4,2,5,9,0,0,2.973557262,0.865079365,1,2,1625,6574
11,4,2,3,5,2,0,3.095795255,0.941176471,1,1,0,5479
15,4,3,5,9,0,0,3.640223929,0.696326255,0,0,0,4018
7,4,1,1,5,0,0,2.807354922,0.452337533,1,5,2691,6574
12,4,3,3,8,0,0,3.418295834,0.643762873,1,2,1121,13879
15,2,2,2,9,3,0,3.640223929,0,0,0,0,731
14,2,1,2,8,3,0,3.182005815,0,0,0,0,731
11,4,2,3,7,0,0,3.095795255,0.933333333,1,3,289,9861
12,4,1,3,8,0,0,3.188721876,0.933333333,1,0,289,9131
11,3,2,4,6,0,0,3.027169118,0.884057971,1,5,196,2922
13,6,2,4,8,0,0,3.026986833,0.596491228,1,4,0,11687
