length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
37,0,3,8,14,9,0,3.97230640587713,0.0,1,0,0,6209
27,0,4,10,13,2,0,3.6763906325796265,0.0,1,0,0,8035
7,2,0,0,5,1,0,2.807354922057604,1.0,1,0,8,365
35,0,2,3,12,19,0,3.6791433740260087,0.0,0,0,27,0
35,0,2,3,12,19,0,3.6791433740260087,0.0,0,0,27,0
9,0,3,3,4,1,0,2.9477027792200903,0.0,0,0,27,0
16,0,3,3,9,2,0,3.577819531114783,0.0,1,1,112,5844
9,2,2,3,4,0,1,2.94770277922009,1.0,1,3,0,4018
14,4,2,4,9,0,0,3.1820058147602133,0.9230769230769232,1,2,0,365
9,2,5,5,3,0,0,3.169925001442312,1.0,1,2,507,0
21,4,3,8,12,0,0,3.5225715891363607,0.9473684210526315,1,1,1349,3653
11,0,4,4,6,0,0,3.459431618637298,0.0,0,0,27,0
12,0,3,4,6,0,1,3.4182958340544896,0.0,0,0,27,0
32,0,5,12,17,0,0,3.792837797403416,0.0,1,0,5,0
12,0,3,5,6,0,0,3.0220552088742,0.0,0,0,27,0
16,0,3,5,10,0,0,3.202819531114783,0.0,0,0,27,0
18,4,4,9,8,0,0,3.1916116417513782,0.8544973544973544,1,2,644,7305
12,2,2,4,7,0,0,2.7516291673878226,1.0,0,5,0,365
12,0,3,5,6,0,0,3.2516291673878226,0.0,0,0,27,0
12,2,2,3,7,0,0,3.084962500721156,1.0,1,2,623,5479
16,2,4,4,11,0,0,3.4056390622295662,1.0,1,0,5,2557
21,0,4,8,12,0,0,3.6897037321995474,0.0,0,0,27,0
13,0,3,5,7,0,0,3.238901256602631,0.0,0,0,27,0
13,0,2,3,9,0,0,3.085055102756477,0.0,0,0,27,0
13,0,2,4,8,0,0,3.0269868333592873,0.0,0,0,27,0
18,0,4,7,8,0,0,3.5304930567574826,0.0,1,0,2653,0
16,0,4,6,9,0,0,3.2806390622295662,0.0,0,0,27,0
15,0,5,7,7,0,0,3.456564762130954,0.0,0,0,27,0
21,0,4,6,12,0,0,3.3273399000835093,0.0,0,0,27,0
8,2,2,2,5,0,0,3.0,1.0,1,0,3,365
16,3,5,6,9,0,0,3.452819531114783,0.9624338624338624,1,1,271,4748
11,2,2,3,7,0,0,3.095795255000934,0.0,0,0,0,365
8,0,1,1,5,1,0,2.5,0.0,0,0,27,0
18,0,3,4,8,4,0,3.8365916681089787,0.0,0,0,27,0
10,0,3,3,5,1,0,3.121928094887362,0.0,0,0,27,0
12,0,3,6,5,0,0,2.855388542207534,0.0,0,0,27,0
18,2,3,4,12,0,0,3.6143694458867563,1.0,1,5,1612,0
10,0,2,2,6,1,0,2.846439344671016,0.0,0,0,27,0
9,0,3,4,4,0,0,2.725480556997868,0.0,0,0,27,0
13,2,3,4,8,0,0,3.3927474104487847,1.0,1,1,0,2922
15,0,2,4,10,0,0,3.0565647621309537,0.0,0,0,27,0
10,0,4,4,5,0,0,3.321928094887362,0.0,0,0,27,0
13,0,2,5,7,0,0,3.0269868333592873,0.0,0,0,27,0
8,0,1,1,6,0,0,3.0,0.0,0,0,27,1461
19,2,3,6,11,0,0,3.6818808028034025,1.0,1,2,0,365
22,0,4,6,14,0,0,3.6292196865240967,0.0,0,0,27,4018
13,0,3,4,8,0,0,3.546593564294939,0.0,0,0,27,0
13,0,3,4,8,0,0,3.546593564294939,0.0,0,0,27,0
10,0,1,1,7,0,0,3.1219280948873624,0.0,0,0,0,0
14,0,3,5,8,0,0,3.09306920777189,0.0,0,0,27,0
37,0,4,14,21,0,0,3.7737934878245247,0.0,1,0,313,8036
25,0,5,11,11,0,2,3.623465189601647,0.0,0,0,27,0
18,0,4,8,9,0,0,3.5724312513221195,0.0,0,0,0,0
15,0,3,5,9,0,0,3.1898980954642875,0.0,0,0,27,0
12,4,3,3,8,0,0,3.0220552088742,0.9230769230769232,1,2,0,365
7,0,2,3,3,0,0,2.5216406363433186,0.0,0,0,0,0
28,0,3,10,15,0,1,3.553090083530327,0.0,0,0,27,0
8,4,0,0,6,1,0,3.0,0.9230769230769232,1,2,0,365
10,0,3,4,4,0,1,3.121928094887362,0.0,0,0,27,365
14,0,3,5,7,1,0,3.521640636343319,0.0,0,0,27,0
16,3,4,5,9,1,0,3.625,0.9729729729729731,1,0,0,0
14,0,3,5,7,0,1,3.2359263506290334,0.0,0,0,27,0
12,0,2,2,9,0,0,3.584962500721156,0.0,0,0,0,365
6,0,3,3,3,0,0,2.584962500721156,0.0,0,0,0,0
14,2,3,5,8,0,0,2.9852281360342516,1.0,1,0,569,365
24,4,4,8,15,0,0,3.8868421881310122,0.9230769230769232,1,2,0,365
17,0,2,2,13,0,0,2.7045348998193437,0.0,0,0,504,9496
19,2,3,6,12,0,0,3.5110854081804277,1.0,1,1,507,3287
18,0,3,5,12,0,0,3.197159723424149,0.0,0,0,27,0
14,0,3,4,9,0,0,3.3248629576173574,0.0,0,0,27,0
11,2,3,4,6,0,0,3.0957952550009344,0.0,0,0,0,365
47,0,4,12,15,10,6,4.165563053483078,0.0,1,0,1499,7821
12,2,4,4,7,0,0,3.584962500721156,1.0,1,0,0,365
19,2,5,8,10,0,0,3.5766176449086657,1.0,1,2,177,3652
12,0,2,5,6,0,0,2.9182958340544896,0.0,0,0,27,0
27,2,5,12,13,0,0,3.6339740759971577,1.0,2,1,0,0
