length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
10,4,2,3,6,0,0,3.1219280948873624,0.865079365079365,1,5,588,5844
13,0,3,4,5,3,0,3.546593564294939,0.0,0,0,0,0
17,0,3,4,12,0,0,3.616874605956222,0.0,0,0,0,365
8,2,2,3,4,0,0,2.75,1.0,1,0,22,6209
17,2,3,4,10,2,0,3.7345216647797512,1.0,1,0,0,0
20,2,4,8,10,0,0,3.5464393446710156,1.0,1,1,454,0
12,2,2,4,7,0,0,2.8553885422075336,1.0,1,2,210,3287
20,2,4,8,11,0,0,3.641446071165522,1.0,0,1,75,4383
14,2,3,4,6,3,0,3.521640636343318,0.0,0,0,0,365
13,4,4,4,6,2,0,3.7004397181410926,0.9444444444444443,1,0,46,365
17,2,4,6,8,2,0,3.616874605956222,1.0,1,0,1059,365
17,2,3,7,7,0,1,2.8163075192246447,1.0,1,4,221,0
16,2,4,6,9,0,0,3.625,1.0,1,1,371,1826
22,4,4,7,13,0,0,3.6635327548042547,0.9411764705882352,1,1,0,2191
18,2,4,6,11,0,0,3.7254805569978675,1.0,1,0,146,730
14,2,4,5,8,0,0,3.521640636343318,1.0,1,0,2558,0
17,2,4,5,11,0,0,3.7345216647797512,1.0,1,3,691,1096
20,2,4,6,13,0,0,3.8219280948873626,1.0,1,2,1490,2192
15,2,3,5,9,0,0,3.323231428797621,1.0,1,2,1938,3287
19,4,3,5,13,0,0,3.826874881864638,0.8733819920752769,1,1,852,3287
16,4,3,6,9,0,0,3.25,0.8749183006535949,1,1,0,3287
17,2,3,6,10,0,0,3.4548223999466057,1.0,1,5,0,365
8,2,2,3,4,0,0,2.75,1.0,1,1,547,0
9,3,1,2,6,0,0,2.197159723424149,0.7905609407277928,1,0,599,365
16,4,3,5,10,0,0,3.1556390622295662,0.7916666666666666,1,6,0,2922
20,2,5,9,10,0,0,3.484183719779189,1.0,1,1,116,1826
13,2,3,4,8,0,0,3.238901256602631,1.0,2,2,1544,0
10,4,3,4,5,0,0,3.1219280948873624,0.9090909090909091,1,1,1571,7670
15,2,3,6,6,2,0,3.1898980954642875,1.0,1,0,352,365
16,2,3,7,8,0,0,3.25,1.0,2,0,283,731
12,2,1,2,7,2,0,3.2516291673878226,1.0,1,0,0,365
11,2,3,4,6,0,0,3.2776134368191157,1.0,1,1,1097,0
8,2,2,3,4,0,0,2.75,1.0,1,1,3058,7670
22,2,4,8,10,3,0,3.788754913993503,1.0,1,0,1482,365
13,2,2,3,4,5,0,3.546593564294939,1.0,1,0,576,1096
13,2,2,3,4,5,0,3.546593564294939,1.0,1,0,576,365
12,0,2,5,6,0,0,2.584962500721156,0.0,0,0,0,0
17,0,4,5,11,0,0,3.4548223999466057,0.0,0,0,0,0
16,2,4,5,9,0,1,3.625,1.0,1,3,879,0
18,2,5,6,10,0,1,3.8365916681089787,1.0,1,1,0,1096
15,2,3,5,9,0,0,3.1898980954642875,1.0,1,1,650,0
16,2,2,3,8,4,0,3.625,1.0,1,0,0,365
22,2,5,6,15,0,0,3.913977073182752,1.0,1,1,368,4749
17,2,5,8,8,0,0,3.3371753411230767,1.0,1,3,285,1461
33,2,5,12,18,0,2,3.8013774524295485,1.0,1,0,0,731
12,4,4,4,7,0,0,3.2516291673878226,0.6970163866018265,0,0,0,1095
13,2,3,5,7,0,0,3.238901256602631,1.0,1,3,541,731
17,2,2,6,10,0,0,3.1248435485091464,1.0,1,0,1583,731
10,4,3,4,4,0,0,2.721928094887362,0.6537104870438203,1,4,818,0
21,2,4,7,11,0,1,3.6537567082870015,1.0,1,1,1129,0
12,2,4,5,6,0,0,3.4182958340544896,1.0,1,3,705,2192
15,4,3,4,10,0,0,3.1898980954642875,0.8333333333333334,1,1,3,6957
